,College
490,IIT-Bombay-B.Tech-Computer Science and Engineering-4 Years
1019,IIT-Delhi-B.Tech-Computer Science and Engineering-4 Years
8245,NIT-Tiruchirappalli-B.Arch-Architecture-5 Years
7642,NIT-Calicut-B.Arch-Architecture-5 Years
257,IIT-Delhi-B.Tech + M.Tech (IDD)-Computer Science and Engineering-5 Years
1729,IIT-Madras-B.Tech-Computer Science and Engineering-4 Years
309,IIT-Kanpur-B.Tech-Computer Science and Engineering-4 Years
5,IIT-Bombay-B.Tech-Electrical Engineering-4 Years
280,IIT-Kharagpur-B.Tech-Computer Science and Engineering-4 Years
326,IIT-Madras-B.Tech + M.Tech (IDD)-Computer Science and Engineering-5 Years
